,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Tag,Duration
0,612,597,614,4196.587963999999,4175.0,-13211.833967999617,-0.005144170498793232,2017-08-23 18:15:00,2017-08-23 22:30:00,,0 days 04:15:00
1,681,1190,1209,4539.735168,4517.16,-15373.689408000206,-0.004972794042949813,2017-08-29 22:30:00,2017-08-30 03:15:00,,0 days 04:45:00
2,-651,1271,1370,4480.2072,4631.99,-98810.60279999996,-0.03387852240405298,2017-08-30 18:45:00,2017-08-31 19:30:00,,1 days 00:45:00
3,1668,1371,1400,4634.813184,4651.08,27133.049088000484,0.003509702625373423,2017-08-31 19:45:00,2017-09-01 03:00:00,,0 days 07:15:00
4,750,1460,1481,4747.2181279999995,4740.0,-5413.595999999643,-0.0015204963844879238,2017-09-01 18:00:00,2017-09-01 23:15:00,,0 days 05:15:00
5,435,1940,1957,4514.615124,4454.64,-26089.178939999823,-0.013284659345858207,2017-09-06 18:00:00,2017-09-06 22:15:00,,0 days 04:15:00
6,285,2027,2044,4693.6367040000005,4702.06,2400.639359999982,0.001794620361823318,2017-09-07 22:30:00,2017-09-08 02:45:00,,0 days 04:15:00
7,-588,2123,2145,4420.2312,4262.03,93022.30560000025,0.03579025459120788,2017-09-08 22:30:00,2017-09-09 04:00:00,,0 days 05:30:00
8,-429,2685,2705,3754.79748,3564.05,81830.66892,0.05080100352043482,2017-09-14 19:00:00,2017-09-15 00:00:00,,0 days 05:00:00
9,-150,2778,2797,3008.7960000000003,3451.16,-66354.59999999993,-0.14702359349055216,2017-09-15 18:15:00,2017-09-15 23:00:00,,0 days 04:45:00
10,381,3278,3320,4047.6784239999997,3820.95,-86383.52954399996,-0.05601443599265532,2017-09-20 23:15:00,2017-09-21 09:45:00,,0 days 10:30:00
11,-516,3454,3470,3599.0598,3627.94,-14902.18320000003,-0.008024373476650748,2017-09-22 19:15:00,2017-09-22 23:15:00,,0 days 04:00:00
12,384,3759,3777,3912.354316,3904.19,-3135.0973439999507,-0.00208680383742621,2017-09-25 23:30:00,2017-09-26 04:00:00,,0 days 04:30:00
13,624,3934,3959,4021.7080399999995,4090.0,42614.183040000295,0.016980834839517733,2017-09-27 19:15:00,2017-09-28 01:30:00,,0 days 06:15:00
14,-546,4048,4114,4127.338404,4070.0,31306.768584000045,0.013892343778845628,2017-09-28 23:45:00,2017-09-29 16:15:00,,0 days 16:30:00
15,768,4414,4445,4471.788,4382.01,-68949.50399999949,-0.020076533145131026,2017-10-02 19:15:00,2017-10-03 03:00:00,,0 days 07:45:00
16,-384,4509,4536,4240.3032,4275.0,-13323.57119999989,-0.008182622412472806,2017-10-03 19:00:00,2017-10-04 01:45:00,,0 days 06:45:00
17,-624,4601,4628,4255.457136,4211.01,27735.01286399986,0.01044473826888992,2017-10-04 18:00:00,2017-10-05 00:45:00,,0 days 06:45:00
18,-600,5174,5209,4753.5578160000005,4885.99,-79459.3103999996,-0.02785959256753867,2017-10-10 17:15:00,2017-10-11 02:00:00,,0 days 08:45:00
19,300,5366,5390,5156.551796,5210.0,16034.461200000078,0.010365105619895232,2017-10-12 17:15:00,2017-10-12 23:15:00,,0 days 06:00:00
20,681,6159,6187,5811.543688,5941.02,88173.36847200047,0.022279160056449587,2017-10-20 23:30:00,2017-10-21 06:30:00,,0 days 07:00:00
21,468,6044,6187,5687.103932,5941.02,118832.7198240002,0.04464769257535006,2017-10-19 18:45:00,2017-10-21 06:30:00,,1 days 11:45:00
22,-312,6423,6455,5809.705188,5730.0,24868.01865599997,0.013719317146183574,2017-10-23 17:30:00,2017-10-24 01:30:00,,0 days 08:00:00
23,249,6614,6689,5652.259999999999,5681.88,7375.380000000199,0.005240381723417009,2017-10-25 17:15:00,2017-10-26 12:00:00,,0 days 18:45:00
24,882,6719,6752,5736.99388,5855.61,104619.41783999972,0.020675657405442305,2017-10-26 19:30:00,2017-10-27 03:45:00,,0 days 08:15:00
25,-285,6827,6936,5718.751584000001,5694.99,6772.0514400002185,0.00415502993109218,2017-10-27 22:30:00,2017-10-29 01:45:00,,1 days 03:15:00
26,858,7103,7119,6216.505608,6099.98,-99978.97166400071,-0.018744551255619246,2017-10-30 19:30:00,2017-10-30 23:30:00,,0 days 04:00:00
27,600,7290,7305,6502.630012,6529.98,16409.992799999964,0.004205988646059922,2017-11-01 18:15:00,2017-11-01 22:00:00,,0 days 03:45:00
28,255,7388,7395,6984.812808,6735.01,-63699.71603999986,-0.03576370832928977,2017-11-02 18:45:00,2017-11-02 20:30:00,,0 days 01:45:00
29,198,7480,7546,7291.935608,6950.0,-67703.25038399996,-0.04689229669346795,2017-11-03 17:45:00,2017-11-04 10:15:00,,0 days 16:30:00
30,-333,8058,8079,7152.147996000001,7131.0,7042.282668000201,0.002956873377316538,2017-11-09 18:15:00,2017-11-09 23:30:00,,0 days 05:15:00
31,-342,8159,8182,7057.156008,6850.0,70847.35473599998,0.029354035501718778,2017-11-10 19:30:00,2017-11-11 01:15:00,,0 days 05:45:00
32,123,8446,8464,6325.539204,6405.03,9777.367908000006,0.01256664348072234,2017-11-13 19:15:00,2017-11-13 23:45:00,,0 days 04:30:00
33,-360,8535,8563,6429.317244000001,6456.06,-9627.392159999872,-0.004159501699026791,2017-11-14 17:30:00,2017-11-15 00:30:00,,0 days 07:00:00
34,213,8727,8742,7401.939591999999,7480.19,16667.336904000167,0.010571608566567248,2017-11-16 17:30:00,2017-11-16 21:15:00,,0 days 03:45:00
35,462,9303,9323,8321.317196,8160.02,-74519.30455199978,-0.019383613459361237,2017-11-22 17:30:00,2017-11-22 22:30:00,,0 days 05:00:00
36,-576,9400,9417,8126.7480000000005,8158.0,-18001.15199999971,-0.0038455726694122117,2017-11-23 17:45:00,2017-11-23 22:00:00,,0 days 04:15:00
37,162,9494,9636,8336.213151999998,8545.97,33980.609376000146,0.02516212627668679,2017-11-24 17:15:00,2017-11-26 04:45:00,,1 days 11:30:00
38,75,9984,10004,10824.328,10770.89,-4007.8500000000076,-0.0049368422686378866,2017-11-29 19:45:00,2017-11-30 00:45:00,,0 days 05:00:00
39,183,10643,10673,12437.883163999999,12505.01,12284.210988000234,0.005396966277532833,2017-12-06 17:00:00,2017-12-07 00:30:00,,0 days 07:30:00
40,165,10547,10673,11773.697596,12505.01,120666.54666000004,0.062114080817606165,2017-12-05 17:00:00,2017-12-07 00:30:00,,1 days 07:30:00
41,30,10739,10754,14345.735999999999,13799.98,-16372.679999999982,-0.03804308123333644,2017-12-07 17:00:00,2017-12-07 20:45:00,,0 days 03:45:00
42,42,11219,11293,16884.7512,15142.03,-73194.29039999993,-0.10321272604834109,2017-12-12 17:00:00,2017-12-13 11:30:00,,0 days 18:30:00
43,-87,11315,11316,16034.313708,15889.11,12632.722595999921,0.009055810597465852,2017-12-13 17:00:00,2017-12-13 17:15:00,,0 days 00:15:00
44,57,11507,11508,16920.355435999998,17010.06,5113.160148000188,0.005301576810209596,2017-12-15 17:00:00,2017-12-15 17:15:00,,0 days 00:15:00
45,-30,12175,12212,12701.147508,12969.98,-8064.974759999986,-0.021166000302781374,2017-12-22 17:00:00,2017-12-23 02:15:00,,0 days 09:15:00
46,63,12559,12601,15022.126448,15600.0,36406.033775999946,0.03846815921836,2017-12-26 17:00:00,2017-12-27 03:30:00,,0 days 10:30:00
47,27,12655,12656,16054.729323999998,16120.0,1762.3082520000517,0.004065510833772157,2017-12-27 17:00:00,2017-12-27 17:15:00,,0 days 00:15:00
48,-51,12751,12754,14024.068128,14054.99,-1577.0154719999482,-0.0022049145595821606,2017-12-28 17:00:00,2017-12-28 17:45:00,,0 days 00:45:00
49,33,13327,13330,14980.99,15002.59,712.800000000012,0.001441827275767471,2018-01-03 17:00:00,2018-01-03 17:45:00,,0 days 00:45:00
50,-105,13418,13515,14312.2728,15280.62,-101676.45600000002,-0.06765852031551556,2018-01-04 17:30:00,2018-01-05 17:45:00,,1 days 00:15:00
51,108,13516,13562,15732.2904,16450.0,77512.63680000001,0.04562015966855015,2018-01-05 18:00:00,2018-01-06 05:30:00,,0 days 11:30:00
52,-54,13905,13925,14593.11042,14749.55,-8447.737319999913,-0.010720098422992486,2018-01-09 19:15:00,2018-01-10 00:15:00,,0 days 05:00:00
53,-39,13824,13972,14355.315576,14229.51,4906.417464000026,0.008763692817058577,2018-01-08 23:00:00,2018-01-10 12:00:00,,1 days 13:00:00
54,-39,13993,14084,13294.68,13237.54,2228.4599999999773,0.004297959785417915,2018-01-10 17:15:00,2018-01-11 16:00:00,,0 days 22:45:00
55,-72,14088,14089,13694.510004,13699.98,-393.8397119999863,-0.0003994298443976696,2018-01-11 17:00:00,2018-01-11 17:15:00,,0 days 00:15:00
56,96,14493,14507,13979.309487999999,14069.97,8703.409152000037,0.006485335493704003,2018-01-15 22:15:00,2018-01-16 01:45:00,,0 days 03:30:00
57,-54,14568,14586,11729.306400000001,11599.0,7036.54560000007,0.011109471912167046,2018-01-16 17:00:00,2018-01-16 21:30:00,,0 days 04:30:00
58,-24,14665,14699,10442.561304,10287.97,3710.1912960000336,0.014803964228659594,2018-01-17 17:15:00,2018-01-18 01:45:00,,0 days 08:30:00
59,48,15147,15166,11755.85046,10471.0,-61672.82207999998,-0.10929455630384055,2018-01-22 17:45:00,2018-01-22 22:30:00,,0 days 04:45:00
60,-51,15240,15244,10424.508528,10526.99,-5226.555071999974,-0.009830820486619318,2018-01-23 17:00:00,2018-01-23 18:00:00,,0 days 01:00:00
61,84,15336,15367,11001.318768,11070.09,5776.783488000081,0.006251180740261653,2018-01-24 17:00:00,2018-01-25 00:45:00,,0 days 07:45:00
62,-129,15528,15548,10805.885916,10749.78,7237.663163999821,0.005192162534024547,2018-01-26 17:00:00,2018-01-26 22:00:00,,0 days 05:00:00
63,-81,15934,15960,10633.69482,10350.42,22945.260420000042,0.026639359582448563,2018-01-30 22:30:00,2018-01-31 05:00:00,,0 days 06:30:00
64,-132,16110,16155,9681.365904,9399.96,37145.579328000145,0.029066756363762103,2018-02-01 18:30:00,2018-02-02 05:45:00,,0 days 11:15:00
65,-39,16200,16221,8602.197744,8799.5,-7694.787984000033,-0.02293626139176097,2018-02-02 17:00:00,2018-02-02 22:15:00,,0 days 05:15:00
66,-57,16488,16540,7824.099108,7070.9,42932.34915600004,0.09626656022670621,2018-02-05 17:00:00,2018-02-06 06:00:00,,0 days 13:00:00
67,-33,16584,16684,6120.95064,7781.56,-54800.108880000014,-0.2712992568749093,2018-02-06 17:00:00,2018-02-07 18:00:00,,1 days 01:00:00
68,3,16684,16709,7784.672624,8159.0,1122.9821280000006,0.04808517892530961,2018-02-07 18:00:00,2018-02-08 00:15:00,,0 days 06:15:00
69,51,17024,17041,8704.38036,8709.99,286.09164000002966,0.0006444617270837671,2018-02-12 17:00:00,2018-02-12 21:15:00,,0 days 04:15:00
70,306,17216,17262,8838.88414,9270.01,131924.51316000003,0.04877605059319179,2018-02-14 17:00:00,2018-02-15 04:30:00,,0 days 11:30:00
71,75,17312,17365,9833.972016,9990.0,11702.098800000022,0.015866222086674764,2018-02-15 17:00:00,2018-02-16 06:15:00,,0 days 13:15:00
72,69,17696,17735,10731.760987999998,10940.0,14368.491828000126,0.019403992712179186,2018-02-19 17:00:00,2018-02-20 02:45:00,,0 days 09:45:00
73,57,17792,17850,11511.602799999999,11510.92,-38.919599999924685,-5.931406875836487e-05,2018-02-20 17:00:00,2018-02-21 07:30:00,,0 days 14:30:00
74,-87,17911,17929,10735.15422,10662.41,6328.747140000043,0.006776262223087137,2018-02-21 22:45:00,2018-02-22 03:15:00,,0 days 04:30:00
75,-75,17993,18017,10175.908008,10035.0,10568.100600000025,0.013847217161281566,2018-02-22 19:15:00,2018-02-23 01:15:00,,0 days 06:00:00
76,-138,18368,18388,9395.320368,9968.67,-79122.24921599992,-0.061025021983582395,2018-02-26 17:00:00,2018-02-26 22:00:00,,0 days 05:00:00
77,60,18464,18556,10710.502487999998,10718.55,482.8507200000604,0.0007513664283274046,2018-02-27 17:00:00,2018-02-28 16:00:00,,0 days 23:00:00
78,108,18560,18561,10780.3104,10777.0,-357.5232000000324,-0.0003070783564822488,2018-02-28 17:00:00,2018-02-28 17:15:00,,0 days 00:15:00
79,105,19040,19094,11559.361895999999,11588.0,3007.000920000155,0.002477481391936598,2018-03-05 17:00:00,2018-03-06 06:30:00,,0 days 13:30:00
80,-168,19145,19164,11055.566004,10992.64,10571.56867200014,0.005691793977552484,2018-03-06 19:15:00,2018-03-07 00:00:00,,0 days 04:45:00
81,-108,19232,19245,10545.78,10583.08,-4028.3999999999214,-0.0035369598076195885,2018-03-07 17:00:00,2018-03-07 20:15:00,,0 days 03:15:00
82,-57,19348,19381,9678.487056000002,9448.16,13128.642192000108,0.023797836858934995,2018-03-08 22:00:00,2018-03-09 06:15:00,,0 days 08:15:00
83,-51,19424,19720,8616.552,9845.0,-62650.84800000001,-0.14256839626801998,2018-03-09 17:00:00,2018-03-12 19:00:00,,3 days 02:00:00
84,-141,19912,19931,8911.58394,8752.0,22501.335540000062,0.017907472013331094,2018-03-14 19:00:00,2018-03-14 23:45:00,,0 days 04:45:00
85,-120,19819,19931,8876.308056000002,8752.0,14916.9667200002,0.014004477448929298,2018-03-13 19:45:00,2018-03-14 23:45:00,,1 days 04:00:00
86,-15,19424,19968,8616.552,8244.97,5573.730000000005,0.04312421024094093,2018-03-09 17:00:00,2018-03-15 09:00:00,,5 days 16:00:00
87,-48,20000,20001,7846.860000000001,7835.01,568.8000000000175,0.001510158203408829,2018-03-15 17:00:00,2018-03-15 17:15:00,,0 days 00:15:00
88,99,20119,20138,8447.3776,8494.02,4617.597600000063,0.005521524218356388,2018-03-16 22:45:00,2018-03-17 03:30:00,,0 days 04:45:00
89,141,20408,20542,8643.456,8813.86,24026.964000000065,0.019714799265479144,2018-03-19 23:00:00,2018-03-21 08:30:00,,1 days 09:30:00
90,102,20581,20598,9048.618,9028.99,-2002.0560000000623,-0.0021691710270010933,2018-03-21 18:15:00,2018-03-21 22:30:00,,0 days 04:15:00
91,-237,20679,20710,8781.495996000001,8644.0,32586.551052000348,0.01565746839292892,2018-03-22 18:45:00,2018-03-23 02:30:00,,0 days 07:45:00
92,-111,20768,20769,8480.6064,8499.0,-2041.689599999936,-0.002168901506854448,2018-03-23 17:00:00,2018-03-23 17:15:00,,0 days 00:15:00
93,-276,21062,21112,8309.244972,8170.0,38431.612272000115,0.016757836899648493,2018-03-26 18:30:00,2018-03-27 07:00:00,,0 days 12:30:00
94,-186,21152,21230,7871.85,7854.78,3175.020000000115,0.002168486442196027,2018-03-27 17:00:00,2018-03-28 12:30:00,,0 days 19:30:00
95,228,21256,21328,8063.2139959999995,7755.0,-70272.79108799988,-0.03822470743712103,2018-03-28 19:00:00,2018-03-29 13:00:00,,0 days 18:00:00
96,-366,21344,21363,7501.9980000000005,7500.0,731.2680000001837,0.0002663290499411719,2018-03-29 17:00:00,2018-03-29 21:45:00,,0 days 04:45:00
97,288,21824,21876,7384.9528,7378.05,-1988.0063999999547,-0.0009347114581422789,2018-04-03 17:00:00,2018-04-04 06:00:00,,0 days 13:00:00
98,-153,21945,21969,6873.259596000001,6891.03,-2718.871811999841,-0.0025854405397900404,2018-04-04 23:15:00,2018-04-05 05:15:00,,0 days 06:00:00
99,-225,22114,22127,6587.3640000000005,6600.0,-2843.0999999998903,-0.0019182179700407698,2018-04-06 17:30:00,2018-04-06 20:45:00,,0 days 03:15:00
100,102,22400,22496,7152.86,6703.86,-45798.0,-0.06277209395961891,2018-04-09 17:00:00,2018-04-10 17:00:00,,1 days 00:00:00
101,-39,22496,22613,6701.178456,6932.0,-9002.040216000014,-0.0344449182357367,2018-04-10 17:00:00,2018-04-11 22:15:00,,1 days 05:15:00
102,309,22613,22680,6934.7728,6945.11,3194.194799999981,0.0014906328293839977,2018-04-11 22:15:00,2018-04-12 15:00:00,,0 days 16:45:00
103,51,22784,22813,8115.234796,8100.0,-776.9745959999864,-0.0018773080980366563,2018-04-13 17:00:00,2018-04-14 00:15:00,,0 days 07:15:00
104,204,23367,23408,8234.182356,8215.1,-3892.800623999792,-0.0023174560842819103,2018-04-19 18:45:00,2018-04-20 05:00:00,,0 days 10:15:00
105,270,23467,23484,8491.405204,8476.01,-4156.705080000102,-0.0018130337241176742,2018-04-20 19:45:00,2018-04-21 00:00:00,,0 days 04:15:00
106,102,23744,23838,8956.040984,9235.17,28471.15963200008,0.03116656304930565,2018-04-23 17:00:00,2018-04-24 16:30:00,,0 days 23:30:00
107,177,23840,23865,9241.705204,9279.0,6601.178892000024,0.004035488600508286,2018-04-24 17:00:00,2018-04-24 23:15:00,,0 days 06:15:00
108,-123,23946,23974,9041.6319,9088.99,-5825.0462999999345,-0.005237782352099485,2018-04-25 19:30:00,2018-04-26 02:30:00,,0 days 07:00:00
109,120,24131,24148,9263.704,9241.01,-2723.2799999999406,-0.0024497760291131154,2018-04-27 17:45:00,2018-04-27 22:00:00,,0 days 04:15:00
110,327,24608,24627,9133.652,9085.01,-15905.933999999943,-0.005325580611128977,2018-05-02 17:00:00,2018-05-02 21:45:00,,0 days 04:45:00
111,126,24800,24889,9783.912,9805.0,2657.087999999967,0.0021553750687863804,2018-05-04 17:00:00,2018-05-05 15:15:00,,0 days 22:15:00
112,-159,25088,25216,9306.136056000001,9177.1,20516.73290400013,0.013865696270022432,2018-05-07 17:00:00,2018-05-09 01:00:00,,1 days 08:00:00
113,-180,25280,25281,9066.372000000001,9105.0,-6953.039999999783,-0.004260579645309015,2018-05-09 17:00:00,2018-05-09 17:15:00,,0 days 00:15:00
114,171,25379,25404,9357.821632,9349.62,-1402.4790719997309,-0.0008764467119091179,2018-05-10 17:45:00,2018-05-11 00:00:00,,0 days 06:15:00
115,-123,25472,25501,8757.4956,8630.0,15681.958800000024,0.014558454359942852,2018-05-11 17:00:00,2018-05-12 00:15:00,,0 days 07:15:00
116,-144,25760,25866,8343.401304,8810.71,-67292.45222399975,-0.05600937543013318,2018-05-14 17:00:00,2018-05-15 19:30:00,,1 days 02:30:00
117,-6,25760,25945,8343.401304,8203.01,842.347824000004,0.016826627281213757,2018-05-14 17:00:00,2018-05-16 15:15:00,,1 days 22:15:00
118,-129,25952,25953,8203.717200000001,8218.57,-1916.011199999839,-0.0018104963442668875,2018-05-16 17:00:00,2018-05-16 17:15:00,,0 days 00:15:00
119,-210,26533,26554,8257.325748,8242.97,3014.707079999989,0.0017385468901329748,2018-05-22 18:15:00,2018-05-22 23:30:00,,0 days 05:15:00
120,-129,26624,26641,7854.676872,7855.17,-63.613512000008996,-6.27814495790524e-05,2018-05-23 17:00:00,2018-05-23 21:15:00,,0 days 04:15:00
121,-144,26721,26739,7407.2958960000005,7530.0,-17669.390975999922,-0.016565303414740162,2018-05-24 17:15:00,2018-05-24 21:45:00,,0 days 04:30:00
122,-297,26816,26993,7398.509412,7311.65,25797.24536400021,0.011740123200913888,2018-05-25 17:00:00,2018-05-27 13:15:00,,1 days 20:15:00
123,-201,27104,27183,7209.6649800000005,7115.99,18828.670980000137,0.012992972663758984,2018-05-28 17:00:00,2018-05-29 12:45:00,,0 days 19:45:00
124,324,27392,27437,7559.402552,7550.26,-2962.1868479997866,-0.0012094278532078784,2018-05-31 17:00:00,2018-06-01 04:15:00,,0 days 11:15:00
125,-267,27872,27873,7434.035196000001,7443.67,-2572.492667999826,-0.0012960395997565488,2018-06-05 17:00:00,2018-06-05 17:15:00,,0 days 00:15:00
126,-1071,28160,28185,7603.997184000001,7577.26,28635.52406400056,0.0035162011969520623,2018-06-08 17:00:00,2018-06-08 23:15:00,,0 days 06:15:00
127,-177,28644,28660,6512.433984,6469.05,7678.96516800001,0.0066617157435434615,2018-06-13 18:00:00,2018-06-13 22:00:00,,0 days 04:00:00
128,369,29337,29396,6756.281432,6747.31,-3310.4584079997667,-0.0013278653487563963,2018-06-20 23:15:00,2018-06-21 14:00:00,,0 days 14:45:00
129,-435,29504,29546,6494.30124,6170.0,141071.0393999999,0.04993627921084853,2018-06-22 17:00:00,2018-06-23 03:30:00,,0 days 10:30:00
130,-111,29812,29934,6090.522816000001,6088.83,187.902576000075,0.00027794264156655313,2018-06-25 22:00:00,2018-06-27 14:30:00,,1 days 16:30:00
131,132,30438,30476,6598.23824,6629.86,4174.072319999999,0.004792455023570064,2018-07-02 22:15:00,2018-07-03 07:45:00,,0 days 09:30:00
132,189,30601,30947,6735.192999999999,6723.2,-2266.6769999999024,-0.0017806468203657166,2018-07-04 22:30:00,2018-07-08 13:00:00,,3 days 14:30:00
133,225,31060,31161,6728.550343999999,6453.87,-61803.07739999987,-0.04082310898438002,2018-07-09 17:15:00,2018-07-10 18:30:00,,1 days 01:15:00
134,-423,31160,31186,6546.100512000001,6383.7,68695.41657600045,0.024808740975225785,2018-07-10 18:15:00,2018-07-11 00:45:00,,0 days 06:30:00
135,-375,31347,31366,6180.47682,6171.99,3182.55750000003,0.001373165897578743,2018-07-12 17:00:00,2018-07-12 21:45:00,,0 days 04:45:00
136,423,31736,31785,6502.599999999999,6656.12,64938.96000000018,0.02360901793128911,2018-07-16 18:15:00,2018-07-17 06:30:00,,0 days 12:15:00
137,411,32040,32154,7484.242499999999,7287.03,-81054.33749999985,-0.02635036211079478,2018-07-19 22:15:00,2018-07-21 02:45:00,,1 days 04:30:00
138,186,32509,32527,8106.171172,8148.68,7906.642007999999,0.00524400818808668,2018-07-24 19:30:00,2018-07-25 00:00:00,,0 days 04:30:00
139,204,32403,32527,7758.102,8148.68,79677.91200000008,0.050344530144099675,2018-07-23 17:00:00,2018-07-25 00:00:00,,1 days 07:00:00
140,-147,32808,32831,7870.860396000001,8282.99,-60583.05178799983,-0.052361442493560784,2018-07-27 22:15:00,2018-07-28 04:00:00,,0 days 05:45:00
141,-882,33175,33208,8027.827584000001,7741.06,252929.00908800014,0.035721691952072754,2018-07-31 18:00:00,2018-08-01 02:15:00,,0 days 08:15:00
142,-429,33384,33450,7503.667332,7325.0,76648.28542799999,0.02381066805001586,2018-08-02 22:15:00,2018-08-03 14:45:00,,0 days 16:30:00
143,-168,33747,33778,6985.384728000001,6972.94,2090.7143040002193,0.0017815379516776808,2018-08-06 17:00:00,2018-08-07 00:45:00,,0 days 07:45:00
